GS,SG,slug,PS,FS,V,atleta_id,jogos,PP,FC,DE,G,media,pontos,I,FT,CV,posicao_id,variacao,A,FD,nome,DP,PC,clube_id,DS,FF,CA,clube_nome,preco,apelido,season,rodada,target,media_5,std_5,G_media_5,A_media_5,SG_media_5,DS_media_5,FF_media_5,FS_media_5,pred
,,mano-menezes,,,10.0,37281,31,,,,,5.43,10.67,,,,6,0.76,,,Luis Antônio Venker de Menezes,,,284,,,,GRE,10.32,Mano Menezes,2025,38,10.67,6.0840000000000005,4.303426541722304,,,,,,,6.229733333333343
,,leo-conde,,,10.0,37457,35,,,,,4.98,4.09,,,,6,0.23,,,Leonardo Rodrigues Condé,,,354,,,,CEA,8.19,Léo Condé,2025,38,4.09,2.844,0.8941364549105367,,,,,,,2.297133333333333
37.0,15.0,fabio,,4.0,,37656,36,,,85.0,,4.33,11.5,,,,1,1.0,,,Fábio Deivson Lopes Maciel,1.0,,266,,,1.0,FLU,9.6,Fábio,2025,38,11.5,6.5,3.335416016031582,,,13.6,,,4.0,4.846733333333338
,12.0,thiago-silva,,6.0,,37715,23,,11.0,,2.0,4.22,13.9,,1.0,,3,1.32,,3.0,Thiago Emiliano da Silva,,,266,8.0,5.0,1.0,FLU,9.91,Thiago Silva,2025,38,13.9,3.72,6.043757109613191,1.2,,10.8,7.2,5.0,6.0,9.365333333333343
,,nene,,33.0,,38913,23,,10.0,,2.0,2.76,1.0,1.0,,,4,-0.14,3.0,9.0,Anderson Luis de Carvalho - Luiz,,,286,4.0,6.0,3.0,JUV,4.42,Nenê,2025,38,1.0,1.3600000000000003,1.02127371453494,2.0,3.0,,4.0,5.6,29.2,1.3806666666666652
,,hulk,,60.0,,39148,27,,35.0,,7.0,6.19,19.2,8.0,3.0,,5,0.26,6.0,20.0,Givanildo Vieira de Souza,,,282,8.0,33.0,9.0,CAM,15.51,Hulk,2025,38,19.2,3.84,8.586501033599191,6.2,5.2,,8.0,32.2,60.0,1.8049999999999988
,,alan-franco,,17.0,,39656,26,,36.0,,1.0,2.38,1.2,,,,4,-0.54,,,Alan Steven Franco Palma,,,282,37.0,5.0,3.0,CAM,4.58,Alan Franco,2025,38,1.2,0.24,0.5366563145999547,1.0,,,36.2,5.0,17.0,0.24966666666666693
,,vagner-mancini,,,2.0,39850,5,,,,,4.26,3.04,,,,6,-0.49,,,Vagner Carmo Mancini,,,280,,,,RBB,8.44,Vagner Mancini,2025,38,3.04,0.9960000000000001,1.4181960372247537,,,,,,,1.864655555555554
,,abel-braga,,,1.0,40006,2,,,,,5.6,7.58,,,,6,0.96,,,Abel Carlos da Silva Braga,,,285,,,,INT,10.55,Abel Braga,2025,38,7.58,5.595,2.807213921310594,,,,,,,7.283566666666665
,,dorival-junior,,,10.0,40990,32,,,,,5.11,4.65,,,,6,0.06,,,Dorival Silvestre Júnior,,,264,,,,COR,9.87,Dorival Júnior,2025,38,4.65,4.236,1.3781799592215798,,,,,,,4.958466666666671
,,willian,,4.0,,42135,4,,2.0,,,4.18,0.0,,,,4,-1.92,2.0,,Willian Borges da Silva,,,284,3.0,1.0,,GRE,8.91,Willian,2025,38,0.0,1.86,4.159086438149609,,1.4,,1.8,1.0,3.4,6.148899999999993
,,osvaldo,,19.0,,42222,26,,6.0,,,1.71,0.0,4.0,1.0,,5,0.0,2.0,6.0,Osvaldo Lourenço Filho,,,287,9.0,8.0,3.0,VIT,3.52,Osvaldo,2025,38,0.0,0.0,0.0,,2.0,,9.0,8.0,19.0,0.0
27.0,15.0,cassio,,10.0,,42234,35,,,106.0,,5.52,0.0,,,,1,0.0,,,Cássio Roberto Ramos,1.0,,283,,,5.0,CRU,9.44,Cássio,2025,38,0.0,2.3,1.854723699099137,,,14.8,,,9.4,2.5302999999999978
,5.0,fagner,,7.0,,42500,10,,12.0,,,5.91,4.2,1.0,,,2,0.17,,,Fagner Conserva Lemos,,,283,23.0,1.0,1.0,CRU,8.68,Fagner,2025,38,4.2,0.8400000000000004,1.8782971010998188,,,5.0,20.6,1.0,7.0,1.6403333333333323
22.0,11.0,walter,,4.0,,51413,28,,,107.0,,6.57,0.0,,,,1,0.0,,,Walter Leandro Capeloza Artune,2.0,,2305,,,4.0,MIR,11.42,Walter,2025,38,0.0,5.2,5.320714237769211,,,10.2,,,4.0,6.4792666666666685
,,everton-ribeiro,,46.0,,51772,30,,21.0,,2.0,3.85,1.7,,1.0,1.0,4,-0.56,4.0,5.0,Everton Augusto de Barros Ribeiro,,,265,35.0,9.0,3.0,BAH,7.4,Everton Ribeiro,2025,38,1.7,2.8,1.5953056133543726,2.0,3.4,,34.0,8.4,43.4,2.7984
,,gilberto,,16.0,,61188,21,1.0,23.0,,2.0,2.05,0.0,4.0,,,5,0.0,2.0,9.0,Gilberto Oliveira Souza Júnior,,,286,6.0,7.0,5.0,JUV,4.05,Gilberto,2025,38,0.0,0.0,0.0,2.0,2.0,,6.0,7.0,16.0,0.0
